,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
27,SqueezeNet,0.0,0.3561059596683588,0.377821841774464,27,FlexiBO+GP-Log,0.0064419897918171435,125.60000000000001,27.0,0.3101981033345116
28,SqueezeNet,15.7,0.18787103970628768,0.5562851000786924,28,FlexiBO+GP-Log,0.006401083267433978,141.3,28.0,0.3101981033345116
29,SqueezeNet,0.0,0.30105006923966965,0.4423072014635374,29,FlexiBO+GP-Log,0.0050892588267118675,141.3,29.0,0.3101981033345116
30,SqueezeNet,15.7,0.5036194667313457,0.2722899000557091,30,FlexiBO+GP-Log,0.004333236265800753,157.0,30.0,0.3101981033345116
31,SqueezeNet,0.0,0.4301512510577866,0.2681400850209648,31,FlexiBO+GP-Log,0.0018849780291902887,157.0,31.0,0.3101981033345116
32,SqueezeNet,0.0,0.5899062952268086,0.23233085726828204,32,FlexiBO+GP-Log,0.008196522749268879,157.0,32.0,0.3101981033345116
33,SqueezeNet,0.0,0.5435957658886056,0.470964761868197,33,FlexiBO+GP-Log,0.007604780162295198,157.0,33.0,0.3101981033345115
34,SqueezeNet,0.0,0.15372144087508527,0.4494647754180273,34,FlexiBO+GP-Log,0.0024518145197038248,157.0,34.0,0.3096161006394933
35,SqueezeNet,15.7,0.5880565700277726,0.4967415460723078,35,FlexiBO+GP-Log,0.002326430187359725,172.7,35.0,0.3096161006394933
36,SqueezeNet,15.7,0.467626416745745,0.4533210476025677,36,FlexiBO+GP-Log,0.00810192792992575,188.39999999999998,36.0,0.3096161006394934
37,SqueezeNet,0.0,0.3059997333550999,0.30890906154710485,37,FlexiBO+GP-Log,0.008121702930004603,188.39999999999998,37.0,0.3096161006394934
38,SqueezeNet,0.0,0.4102834819564519,0.4404895386001399,38,FlexiBO+GP-Log,0.0012088011996886285,188.39999999999998,38.0,0.3096161006394934
39,SqueezeNet,0.0,0.10419063051168401,0.349810840660285,39,FlexiBO+GP-Log,0.0016551330965695788,188.39999999999998,39.0,0.2916143407747186
40,SqueezeNet,0.0,0.19952979185212602,0.174301598918481,40,FlexiBO+GP-Log,0.005722001240209228,188.39999999999998,40.0,0.27706453985481416
41,SqueezeNet,15.7,0.17079154854582618,0.2941029115446929,41,FlexiBO+GP-Log,0.004765404699468209,204.09999999999997,41.0,0.2754635918338002
