,Energy,Error,Architecture,Method,cost
130,0.192210857380059,0.170605760976505,MobileNet,Log-FlexiBO+RF,0
131,0.15194051284402,0.182130550645559,MobileNet,Log-FlexiBO+RF,0
132,0.112397363709753,0.260165438438308,MobileNet,Log-FlexiBO+RF,0
133,0.071694656622686,0.292229677637973,MobileNet,Log-FlexiBO+RF,0
134,0.256606662541097,0.155265912286371,MobileNet,Max-Uncertainty + GP,0
135,0.251364277655963,0.190949128455342,MobileNet,Max-Uncertainty + GP,0
136,0.246112159481299,0.19825164978149,MobileNet,Max-Uncertainty + GP,0
137,0.245894675722548,0.202916188634707,MobileNet,Max-Uncertainty + GP,0
138,0.200490937752277,0.211030544322566,MobileNet,Max-Uncertainty + GP,0
139,0.198481897151065,0.222824564754553,MobileNet,Max-Uncertainty + GP,0
140,0.194228149121534,0.234474080364163,MobileNet,Max-Uncertainty + GP,0
141,0.174040461147061,0.264062459624935,MobileNet,Max-Uncertainty + GP,0
142,0.163879767643816,0.276022616085089,MobileNet,Max-Uncertainty + GP,0
143,0.14161630669794,0.290385470862229,MobileNet,Max-Uncertainty + GP,0
144,0.129465662268605,0.302296776379731,MobileNet,Max-Uncertainty + GP,0
145,0.08859649122807,0.322334398270605,MobileNet,Max-Uncertainty + GP,0
146,0.07749099123189,0.332483339199912,MobileNet,Max-Uncertainty + GP,0
147,0.248683421065365,0.230605760976505,MobileNet,Max-Uncertainty + RF,0
148,0.222108573800592,0.24605760976505,MobileNet,Max-Uncertainty + RF,0
149,0.219405128440203,0.261305506455589,MobileNet,Max-Uncertainty + RF,0
150,0.183973637097534,0.321654384383076,MobileNet,Max-Uncertainty + RF,0
151,0.159169465662269,0.352296776379731,MobileNet,Max-Uncertainty + RF,0
152,0.256606662541097,0.155265912286371,MobileNet,PAL,0
153,0.251364277655963,0.190949128455342,MobileNet,PAL,0
154,0.246112159481299,0.19825164978149,MobileNet,PAL,0
155,0.245894675722548,0.202916188634707,MobileNet,PAL,0
156,0.200490937752277,0.211030544322566,MobileNet,PAL,0
157,0.198481897151065,0.222824564754553,MobileNet,PAL,0
158,0.194228149121534,0.234474080364163,MobileNet,PAL,0
159,0.174040461147061,0.264062459624935,MobileNet,PAL,0
160,0.163879767643816,0.276022616085089,MobileNet,PAL,0
161,0.14161630669794,0.290385470862229,MobileNet,PAL,0
162,0.094656622686052,0.302296776379731,MobileNet,PAL,0
163,0.08859649122807,0.322334398270605,MobileNet,PAL,0
164,0.07749099123189,0.332483339199912,MobileNet,PAL,0
165,0.184661283052311,0.203700105717362,MobileNet,PESMO,0
166,0.141411556180334,0.233655928840829,MobileNet,PESMO,0
167,0.139096652940233,0.23708674515688,MobileNet,PESMO,0
168,0.081464730195353,0.291598658477933,MobileNet,PESMO,0
169,0.078546271324996,0.304686184846073,MobileNet,PESMO,0
