,Architecture,Method,Contribution
64,BERT-SQuAD,FlexiBO + GP (Actual),0.6255032301056744
65,BERT-SQuAD,FlexiBO + RF (Actual),0.5640117128398332
66,BERT-SQuAD,FlexiBO + RF (Actual),0.599656383477974
67,BERT-SQuAD,FlexiBO + RF (Actual),0.556890831374391
68,BERT-SQuAD,FlexiBO + RF (Actual),0.5589265407690358
69,BERT-SQuAD,FlexiBO + RF (Actual),0.5809389860389451
70,BERT-IMDB,FlexiBO + GP (Actual),0.4367847251130724
71,BERT-IMDB,FlexiBO + GP (Actual),0.4817094917766858
72,BERT-IMDB,FlexiBO + GP (Actual),0.4685940844606665
73,BERT-IMDB,FlexiBO + GP (Actual),0.4466842455182005
74,BERT-IMDB,FlexiBO + GP (Actual),0.4814587181496792
75,BERT-IMDB,FlexiBO + RF (Actual),0.4093013018212451
76,BERT-IMDB,FlexiBO + RF (Actual),0.4368584897916469
77,BERT-IMDB,FlexiBO + RF (Actual),0.41708820737720176
78,BERT-IMDB,FlexiBO + RF (Actual),0.41991257484215216
79,BERT-IMDB,FlexiBO + RF (Actual),0.4330624369569915
