,Architecture,Method,Contribution
59,SqueezeNet,FlexiBO + RF (Pess),0.5202065761510526
60,ResNet,FlexiBO + GP (Actual),0.407330674773464
61,ResNet,FlexiBO + GP (Actual),0.4677578263221517
62,ResNet,FlexiBO + GP (Actual),0.3979126820635303
63,ResNet,FlexiBO + GP (Actual),0.4089908697544255
64,ResNet,FlexiBO + GP (Actual),0.4138285767015065
65,ResNet,FlexiBO + GP (Opt),0.689023425093236
66,ResNet,FlexiBO + GP (Opt),0.6841118843878077
67,ResNet,FlexiBO + GP (Opt),0.6949424850431133
68,ResNet,FlexiBO + GP (Opt),0.6629948494831275
69,ResNet,FlexiBO + GP (Opt),0.6781048706257743
70,ResNet,FlexiBO + GP (Pess),0.5728585529561119
71,ResNet,FlexiBO + GP (Pess),0.5997402075523967
72,ResNet,FlexiBO + GP (Pess),0.6013481424995468
73,ResNet,FlexiBO + GP (Pess),0.5911722592912061
74,ResNet,FlexiBO + GP (Pess),0.5511522667043741
75,ResNet,FlexiBO + RF (Actual),0.37027023222081945
76,ResNet,FlexiBO + RF (Actual),0.3801290669006792
77,ResNet,FlexiBO + RF (Actual),0.3722549543499668
78,ResNet,FlexiBO + RF (Actual),0.37741220017100796
79,ResNet,FlexiBO + RF (Actual),0.3736813502740639
80,ResNet,FlexiBO + RF (Opt),0.6010037521708648
81,ResNet,FlexiBO + RF (Opt),0.5785378874541149
82,ResNet,FlexiBO + RF (Opt),0.5854145220563732
83,ResNet,FlexiBO + RF (Opt),0.5697196372140004
84,ResNet,FlexiBO + RF (Opt),0.5854351824264964
85,ResNet,FlexiBO + RF (Pess),0.5652011450945827
86,ResNet,FlexiBO + RF (Pess),0.5417026551454314
87,ResNet,FlexiBO + RF (Pess),0.5486724752804787
88,ResNet,FlexiBO + RF (Pess),0.5607519808919117
89,ResNet,FlexiBO + RF (Pess),0.5504041044574289
90,LeNet,FlexiBO + GP (Actual),0.39533268442595576
91,LeNet,FlexiBO + GP (Actual),0.4080848850812752
92,LeNet,FlexiBO + GP (Actual),0.4234577344895944
93,LeNet,FlexiBO + GP (Actual),0.4269053087168456
94,LeNet,FlexiBO + GP (Actual),0.453394302532711
95,LeNet,FlexiBO + GP (Opt),0.6578656750901302
96,LeNet,FlexiBO + GP (Opt),0.6396879519911421
97,LeNet,FlexiBO + GP (Opt),0.6892486347100197
98,LeNet,FlexiBO + GP (Opt),0.6778798686766166
99,LeNet,FlexiBO + GP (Opt),0.6862120537972463
100,LeNet,FlexiBO + GP (Pess),0.5138371538434243
101,LeNet,FlexiBO + GP (Pess),0.5114041815348612
102,LeNet,FlexiBO + GP (Pess),0.5119606005910655
103,LeNet,FlexiBO + GP (Pess),0.5483486557024505
104,LeNet,FlexiBO + GP (Pess),0.5120198744875871
105,LeNet,FlexiBO + RF (Actual),0.3670045875638332
106,LeNet,FlexiBO + RF (Actual),0.35418617381652445
107,LeNet,FlexiBO + RF (Actual),0.3723243138949779
108,LeNet,FlexiBO + RF (Actual),0.3710648068578948
109,LeNet,FlexiBO + RF (Actual),0.37337220180658215
110,LeNet,FlexiBO + RF (Opt),0.5659764588616377
111,LeNet,FlexiBO + RF (Opt),0.5515680891412295
112,LeNet,FlexiBO + RF (Opt),0.5556316956140335
113,LeNet,FlexiBO + RF (Opt),0.5662568037030337
114,LeNet,FlexiBO + RF (Opt),0.5683946926124072
115,LeNet,FlexiBO + RF (Pess),0.5423686336823336
116,LeNet,FlexiBO + RF (Pess),0.5262413958558596
117,LeNet,FlexiBO + RF (Pess),0.5217282937447756
118,LeNet,FlexiBO + RF (Pess),0.5330537178739843
119,LeNet,FlexiBO + RF (Pess),0.5428343579463395
120,MobileNet,FlexiBO + GP (Actual),0.4479793153681864
121,MobileNet,FlexiBO + GP (Actual),0.4185820169339312
122,MobileNet,FlexiBO + GP (Actual),0.41744909798804897
123,MobileNet,FlexiBO + GP (Actual),0.4411852631806424
124,MobileNet,FlexiBO + GP (Actual),0.4364867409508757
125,MobileNet,FlexiBO + GP (Opt),0.6468259943651071
126,MobileNet,FlexiBO + GP (Opt),0.6330599129148119
127,MobileNet,FlexiBO + GP (Opt),0.6675384862213657
128,MobileNet,FlexiBO + GP (Opt),0.6614241079676052
129,MobileNet,FlexiBO + GP (Opt),0.6773206670734812
130,MobileNet,FlexiBO + GP (Pess),0.5523238562821303
131,MobileNet,FlexiBO + GP (Pess),0.5477099701023668
132,MobileNet,FlexiBO + GP (Pess),0.5799686506540023
133,MobileNet,FlexiBO + GP (Pess),0.5393799198244411
134,MobileNet,FlexiBO + GP (Pess),0.5056224115866738
135,MobileNet,FlexiBO + RF (Actual),0.3507132510914668
136,MobileNet,FlexiBO + RF (Actual),0.3695482430700027
137,MobileNet,FlexiBO + RF (Actual),0.3595322419334015
138,MobileNet,FlexiBO + RF (Actual),0.3731452532615711
139,MobileNet,FlexiBO + RF (Actual),0.3530012165409456
140,MobileNet,FlexiBO + RF (Opt),0.5808746577888044
141,MobileNet,FlexiBO + RF (Opt),0.5539672578989666
142,MobileNet,FlexiBO + RF (Opt),0.5644960502266332
143,MobileNet,FlexiBO + RF (Opt),0.5713282645241682
144,MobileNet,FlexiBO + RF (Opt),0.5589854728435135
145,MobileNet,FlexiBO + RF (Pess),0.5327034336702167
146,MobileNet,FlexiBO + RF (Pess),0.4989937211366759
147,MobileNet,FlexiBO + RF (Pess),0.5386545947181849
148,MobileNet,FlexiBO + RF (Pess),0.5334148055689906
149,MobileNet,FlexiBO + RF (Pess),0.496837076212918
150,DeepSpeech,FlexiBO + GP (Actual),0.5074513936845478
