,Unnamed: 0,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption,number_of_cores
85,85,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config85,1,0,0,0,1881600,1,140250000,1,1331200000,0.8723035653432211,4630.88888888889,1
86,86,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config86,1,0,0,0,1881600,1,140250000,1,1600000000,0.8894865777757432,5188.777777777777,1
87,87,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config87,1,0,0,0,1881600,1,140250000,1,1866000000,0.8794349564446343,4939.11111111111,1
88,88,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config88,1,0,0,0,1881600,1,497250000,1,1062400000,0.3046588102976481,2598.3333333333335,1
89,89,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config89,1,0,0,0,1881600,1,497250000,1,1331200000,0.2996435695224338,2784.111111111111,1
90,90,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config90,1,0,0,0,1881600,1,497250000,1,1600000000,0.303209834628635,3181.777777777778,1
91,91,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config91,1,0,0,0,1881600,1,497250000,1,1866000000,0.2990448739793565,3223.777777777778,1
92,92,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config92,1,0,0,0,1881600,1,943500000,1,1062400000,0.2327387068006727,2742.0,1
93,93,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config93,1,0,0,0,1881600,1,943500000,1,1331200000,0.2181434366438124,3148.222222222222,1
94,94,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config94,1,0,0,0,1881600,1,943500000,1,1600000000,0.21215579244825575,3342.666666666666,1
95,95,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config95,1,0,0,0,1881600,1,943500000,1,1866000000,0.17779986063639322,2740.555555555555,1
96,96,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config96,1,0,0,0,2035200,1,1300500000,1,1062400000,0.1880152490403917,3366.666666666666,1
97,97,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config97,1,0,0,0,2035200,1,1300500000,1,1331200000,0.16796758439805773,3594.666666666666,1
98,98,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config98,1,0,0,0,2035200,1,1300500000,1,1600000000,0.156434694925944,3805.222222222222,1
99,99,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config99,1,0,0,0,2035200,1,1300500000,1,1866000000,0.15089331732855904,3914.222222222222,1
100,100,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config100,1,0,0,0,2035200,1,140250000,1,1062400000,0.8822225464714898,4571.0,1
101,101,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config101,1,0,0,0,2035200,1,140250000,1,1331200000,0.8998923036787245,5104.333333333333,1
102,102,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config102,1,0,0,0,2035200,1,140250000,1,1600000000,0.8680573039584689,5248.444444444444,1
103,103,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config103,1,0,0,0,2035200,1,140250000,1,1866000000,0.8660826418134902,5454.666666666667,1
104,104,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config104,1,0,0,0,2035200,1,497250000,1,1062400000,0.3038917912377251,2606.6666666666665,1
105,105,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config105,1,0,0,0,2035200,1,497250000,1,1331200000,0.32088526089986164,3241.333333333334,1
106,106,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config106,1,0,0,0,2035200,1,497250000,1,1600000000,0.3245823383331299,3529.0,1
107,107,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config107,1,0,0,0,2035200,1,497250000,1,1866000000,0.31373609436882866,3637.444444444444,1
108,108,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config108,1,0,0,0,2035200,1,943500000,1,1062400000,0.22645341025458446,2750.333333333334,1
109,109,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config109,1,0,0,0,2035200,1,943500000,1,1331200000,0.221515867445204,3309.0,1
110,110,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config110,1,0,0,0,2035200,1,943500000,1,1600000000,0.1986126634809706,2656.555555555555,1
111,111,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config111,1,0,0,0,2035200,1,943500000,1,1866000000,0.2025227811601427,3527.777777777778,1
112,112,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config112,1,0,0,0,345600,1,1300500000,1,1062400000,1.0758571094936795,2074.777777777778,1
113,113,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config113,1,0,0,0,345600,1,1300500000,1,1331200000,1.0170828766292996,2133.222222222222,1
114,114,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config114,1,0,0,0,345600,1,1300500000,1,1600000000,0.9799365467495388,2183.6666666666665,1
115,115,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config115,1,0,0,0,345600,1,1300500000,1,1866000000,0.9724299907684326,2141.1111111111113,1
116,116,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config116,1,0,0,0,345600,1,140250000,1,1062400000,1.2043610678778751,1117.3333333333333,1
117,117,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config117,1,0,0,0,345600,1,140250000,1,1331200000,1.1830704477098253,1091.6666666666667,1
118,118,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config118,1,0,0,0,345600,1,140250000,1,1600000000,1.1747479173872206,1116.6666666666667,1
119,119,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config119,1,0,0,0,345600,1,140250000,1,1866000000,1.1779211097293432,1133.5555555555557,1
120,120,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config120,1,0,0,0,345600,1,497250000,1,1062400000,1.0463220808241105,1176.7777777777776,1
121,121,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config121,1,0,0,0,345600,1,497250000,1,1331200000,1.0026775730980768,1193.6666666666667,1
122,122,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config122,1,0,0,0,345600,1,497250000,1,1600000000,0.9887048933241104,1219.0,1
123,123,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config123,1,0,0,0,345600,1,497250000,1,1866000000,0.979629675547282,1210.4444444444443,1
124,124,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config124,1,0,0,0,345600,1,943500000,1,1062400000,1.0482801066504583,1414.2222222222224,1
125,125,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config125,1,0,0,0,345600,1,943500000,1,1331200000,1.0163023206922743,1439.5555555555554,1
126,126,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config126,1,0,0,0,345600,1,943500000,1,1600000000,1.1194987561967638,1345.5555555555557,1
127,127,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config127,1,0,0,0,345600,1,943500000,1,1866000000,0.9846202797359892,1447.111111111111,1
