,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption
187,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config187,1,0,0,0,960000,1,497250000,1,1866000000,0.3442345725165473,2132.4444444444443
188,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config188,1,0,0,0,960000,1,943500000,1,1062400000,0.3700687620374892,1879.2222222222222
189,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config189,1,0,0,0,960000,1,943500000,1,1331200000,0.2653101550208198,1980.4444444444443
190,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config190,1,0,0,0,960000,1,943500000,1,1600000000,0.2569698492685954,1861.6666666666667
191,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config191,1,0,0,0,960000,1,943500000,1,1866000000,0.24271117316351998,1903.888888888889
192,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config192,1,1,0,0,1113600,1,1300500000,1,1062400000,0.2575966517130534,4730.666666666667
193,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config193,1,1,0,0,1113600,1,1300500000,1,1331200000,0.2257016764746772,5271.444444444444
194,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config194,1,1,0,0,1113600,1,1300500000,1,1600000000,0.21021217770046657,5482.555555555556
195,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config195,1,1,0,0,1113600,1,1300500000,1,1866000000,0.20893589655558267,5565.333333333333
196,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config196,1,1,0,0,1113600,1,140250000,1,1062400000,0.9266382058461508,4417.666666666667
197,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config197,1,1,0,0,1113600,1,140250000,1,1331200000,0.9205439620547824,4705.0
198,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config198,1,1,0,0,1113600,1,140250000,1,1600000000,0.9166247844696045,4806.111111111111
199,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config199,1,1,0,0,1113600,1,140250000,1,1866000000,0.9030365678999159,4982.222222222223
200,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config200,1,1,0,0,1113600,1,497250000,1,1062400000,0.37648383776346844,3183.1111111111113
201,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config201,1,1,0,0,1113600,1,497250000,1,1331200000,0.36475208070543075,3361.3333333333335
202,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config202,1,1,0,0,1113600,1,497250000,1,1600000000,0.347043514251709,3427.8888888888887
203,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config203,1,1,0,0,1113600,1,497250000,1,1866000000,0.34025367101033527,3418.5555555555557
204,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config204,1,1,0,0,1113600,1,943500000,1,1062400000,0.2877637810177273,3486.777777777778
205,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config205,1,1,0,0,1113600,1,943500000,1,1331200000,0.24570133950975206,3503.8888888888887
206,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config206,1,1,0,0,1113600,1,943500000,1,1600000000,0.24853298399183485,3672.6666666666665
207,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config207,1,1,0,0,1113600,1,943500000,1,1866000000,0.24699176682366264,3807.4444444444443
208,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config208,1,1,0,0,1267200,1,1300500000,1,1062400000,0.24972584512498644,5305.333333333333
209,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config209,1,1,0,0,1267200,1,1300500000,1,1331200000,0.21474756134880912,5576.0
210,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config210,1,1,0,0,1267200,1,1300500000,1,1600000000,0.20884291330973306,5652.0
211,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config211,1,1,0,0,1267200,1,1300500000,1,1866000000,0.20168471336364746,5709.0
212,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config212,1,1,0,0,1267200,1,140250000,1,1062400000,0.9279265138838027,4720.777777777777
213,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config213,1,1,0,0,1267200,1,140250000,1,1331200000,0.896153105629815,5018.333333333333
